IPCC,UN,WMO,iso3_code,common_name,wikipedia_url,cpdb_url
IPCC,UN,"WMO State",SDN,Sudan,https://en.wikipedia.org/wiki/Sudan,https://www.wmo.int/cpdb/dashboard/sudan
IPCC,UN,"WMO State",SUR,Suriname,https://en.wikipedia.org/wiki/Suriname,https://www.wmo.int/cpdb/dashboard/suriname
IPCC,UN,"WMO State",SWZ,Swaziland,https://en.wikipedia.org/wiki/Swaziland,https://www.wmo.int/cpdb/dashboard/swaziland
IPCC,UN,"WMO State",SWE,Sweden,https://en.wikipedia.org/wiki/Sweden,https://www.wmo.int/cpdb/dashboard/sweden
IPCC,UN,"WMO State",CHE,Switzerland,https://en.wikipedia.org/wiki/Switzerland,https://www.wmo.int/cpdb/dashboard/switzerland
IPCC,UN,"WMO State",SYR,Syria,https://en.wikipedia.org/wiki/Syria,https://www.wmo.int/cpdb/dashboard/syrian-arab-republic
IPCC,UN,"WMO State",STP,"São Tomé & Príncipe","https://en.wikipedia.org/wiki/São_Tomé_and_Príncipe",https://www.wmo.int/cpdb/dashboard/sao-tome-and-principe
IPCC,UN,"WMO State",TJK,Tajikistan,https://en.wikipedia.org/wiki/Tajikistan,https://www.wmo.int/cpdb/dashboard/tajikistan
IPCC,UN,"WMO State",TZA,Tanzania,https://en.wikipedia.org/wiki/Tanzania,https://www.wmo.int/cpdb/dashboard/united-republic-of-tanzania
IPCC,UN,"WMO State",THA,Thailand,https://en.wikipedia.org/wiki/Thailand,https://www.wmo.int/cpdb/dashboard/thailand
IPCC,UN,"WMO State",TLS,Timor-Leste,https://en.wikipedia.org/wiki/East_Timor,https://www.wmo.int/cpdb/dashboard/timor-leste
IPCC,UN,"WMO State",TGO,Togo,https://en.wikipedia.org/wiki/Togo,https://www.wmo.int/cpdb/dashboard/togo
IPCC,UN,"WMO State",TON,Tonga,https://en.wikipedia.org/wiki/Tonga,https://www.wmo.int/cpdb/dashboard/tonga
IPCC,UN,"WMO State",TTO,"Trinidad & Tobago",https://en.wikipedia.org/wiki/Trinidad_and_Tobago,https://www.wmo.int/cpdb/dashboard/trinidad-and-tobago
IPCC,UN,"WMO State",TUN,Tunisia,https://en.wikipedia.org/wiki/Tunisia,https://www.wmo.int/cpdb/dashboard/tunisia
IPCC,UN,"WMO State",TUR,Turkey,https://en.wikipedia.org/wiki/Turkey,https://www.wmo.int/cpdb/dashboard/turkey
IPCC,UN,"WMO State",TKM,Turkmenistan,https://en.wikipedia.org/wiki/Turkmenistan,https://www.wmo.int/cpdb/dashboard/turkmenistan
IPCC,UN,"WMO State",TUV,Tuvalu,https://en.wikipedia.org/wiki/Tuvalu,https://www.wmo.int/cpdb/dashboard/tuvalu
IPCC,UN,"WMO State",UGA,Uganda,https://en.wikipedia.org/wiki/Uganda,https://www.wmo.int/cpdb/dashboard/uganda
IPCC,UN,"WMO State",UKR,Ukraine,https://en.wikipedia.org/wiki/Ukraine,https://www.wmo.int/cpdb/dashboard/ukraine
IPCC,UN,"WMO State",ARE,"United Arab Emirates",https://en.wikipedia.org/wiki/United_Arab_Emirates,https://www.wmo.int/cpdb/dashboard/united-arab-emirates
