"ISO Country Code","English Country Name","French Country Name","Date of Membership","CPDB URL"
"MRT","Mauritania","Mauritanie","1962-01-23 00:00:00","https://www.wmo.int/cpdb/dashboard/mauritania"
"MUS","Mauritius","Maurice","1969-07-17 00:00:00","https://www.wmo.int/cpdb/dashboard/mauritius"
"MEX","Mexico","Mexique","1949-05-27 00:00:00","https://www.wmo.int/cpdb/dashboard/mexico"
"FSM","Micronesia, Federated States of","Micronésie, Etats fédérés de","1995-09-20 00:00:00","https://www.wmo.int/cpdb/dashboard/micronesia-federated-states-of"
"MCO","Monaco","Monaco","1996-04-09 00:00:00","https://www.wmo.int/cpdb/dashboard/monaco"
"MNG","Mongolia","Mongolie","1963-04-04 00:00:00","https://www.wmo.int/cpdb/dashboard/mongolia"
"MNE","Montenegro","Monténégro","2007-01-05 00:00:00","https://www.wmo.int/cpdb/dashboard/montenegro"
"MAR","Morocco","Maroc","1957-01-03 00:00:00","https://www.wmo.int/cpdb/dashboard/morocco"
"MOZ","Mozambique","Mozambique","1976-06-21 00:00:00","https://www.wmo.int/cpdb/dashboard/mozambique"
"MMR","Myanmar","Myanmar","1949-08-19 00:00:00","https://www.wmo.int/cpdb/dashboard/myanmar"
"NAM","Namibia","Namibie","1991-02-06 00:00:00","https://www.wmo.int/cpdb/dashboard/namibia"
"NPL","Nepal","Népal","1966-08-12 00:00:00","https://www.wmo.int/cpdb/dashboard/nepal"
"NLD","Netherlands","Pays-Bas","1951-09-12 00:00:00","https://www.wmo.int/cpdb/dashboard/netherlands"
"NCL","New Caledonia","Nouvelle-Calédonie","1949-12-05 00:00:00","https://www.wmo.int/cpdb/dashboard/new-caledonia"
"NZL","New Zealand","Nouvelle-Zélande","1948-04-02 00:00:00","https://www.wmo.int/cpdb/dashboard/new-zealand"
"NIC","Nicaragua","Nicaragua","1959-02-27 00:00:00","https://www.wmo.int/cpdb/dashboard/nicaragua"
"NER","Niger","Niger","1960-10-28 00:00:00","https://www.wmo.int/cpdb/dashboard/niger"
"NGA","Nigeria","Nigéria","1960-11-30 00:00:00","https://www.wmo.int/cpdb/dashboard/nigeria"
"NIU","Niue","Nioué","1996-05-31 00:00:00","https://www.wmo.int/cpdb/dashboard/niue"
"NOR","Norway","Norvège","1948-12-09 00:00:00","https://www.wmo.int/cpdb/dashboard/norway"
"OMN","Oman","Oman","1975-01-03 00:00:00","https://www.wmo.int/cpdb/dashboard/oman"
"PAK","Pakistan","Pakistan","1950-04-11 00:00:00","https://www.wmo.int/cpdb/dashboard/pakistan"
"PAN","Panama","Panama","1967-09-12 00:00:00","https://www.wmo.int/cpdb/dashboard/panama"
"PNG","Papua New Guinea","Papouasie-Nouvelle-Guinée","1975-12-15 00:00:00","https://www.wmo.int/cpdb/dashboard/papua-new-guinea"
"PRY","Paraguay","Paraguay","1950-09-15 00:00:00","https://www.wmo.int/cpdb/dashboard/paraguay"
"PER","Peru","Pérou","1949-12-30 00:00:00","https://www.wmo.int/cpdb/dashboard/peru"
"PHL","Philippines","Philippines","1949-04-05 00:00:00","https://www.wmo.int/cpdb/dashboard/philippines"
"POL","Poland","Pologne","1950-05-16 00:00:00","https://www.wmo.int/cpdb/dashboard/poland"
"PRT","Portugal","Portugal","1951-01-15 00:00:00","https://www.wmo.int/cpdb/dashboard/portugal"
"QAT","Qatar","Qatar","1975-04-04 00:00:00","https://www.wmo.int/cpdb/dashboard/qatar"
"KOR","Republic of Korea","République de Corée","1956-02-15 00:00:00","https://www.wmo.int/cpdb/dashboard/republic-of-korea"
"MDA","Republic of Moldova","République de Moldova","1994-11-21 00:00:00","https://www.wmo.int/cpdb/dashboard/republic-of-moldova"
"ROU","Romania","Roumanie","1948-08-18 00:00:00","https://www.wmo.int/cpdb/dashboard/romania"
"RUS","Russian Federation","Fédération de Russie","1948-04-02 00:00:00","https://www.wmo.int/cpdb/dashboard/russian-federation"
"RWA","Rwanda","Rwanda","1963-02-04 00:00:00","https://www.wmo.int/cpdb/dashboard/rwanda"
"LCA","Saint Lucia","Sainte-Lucie","1981-03-02 00:00:00","https://www.wmo.int/cpdb/dashboard/saint-lucia"
"WSM","Samoa","Samoa","1995-07-11 00:00:00","https://www.wmo.int/cpdb/dashboard/samoa"
"STP","Sao Tome and Principe","Sao Tomé-et-Principe","1976-11-23 00:00:00","https://www.wmo.int/cpdb/dashboard/sao-tome-and-principe"
"SAU","Saudi Arabia","Arabie saoudite","1959-02-26 00:00:00","https://www.wmo.int/cpdb/dashboard/saudi-arabia"
"SEN","Senegal","Sénégal","1960-11-11 00:00:00","https://www.wmo.int/cpdb/dashboard/senegal"
"SRB","Serbia","Serbie","2001-03-23 00:00:00","https://www.wmo.int/cpdb/dashboard/serbia"
"SYC","Seychelles","Seychelles","1977-02-15 00:00:00","https://www.wmo.int/cpdb/dashboard/seychelles"
"SLE","Sierra Leone","Sierra Leone","1962-03-30 00:00:00","https://www.wmo.int/cpdb/dashboard/sierra-leone"
"SGP","Singapore","Singapour","1966-01-24 00:00:00","https://www.wmo.int/cpdb/dashboard/singapore"
"SVK","Slovakia","Slovaquie","1993-02-11 00:00:00","https://www.wmo.int/cpdb/dashboard/slovakia"
"SVN","Slovenia","Slovénie","1992-08-20 00:00:00","https://www.wmo.int/cpdb/dashboard/slovenia"
"SLB","Solomon Islands","Iles Salomon","1985-05-06 00:00:00","https://www.wmo.int/cpdb/dashboard/solomon-islands"
"SOM","Somalia","Somalie","1964-03-02 00:00:00","https://www.wmo.int/cpdb/dashboard/somalia"
"ZAF","South Africa","Afrique du Sud","1950-01-17 00:00:00","https://www.wmo.int/cpdb/dashboard/south-africa"
"SSD","South Sudan","Soudan du Sud","2012-12-14 00:00:00","https://www.wmo.int/cpdb/dashboard/south-sudan"
"ESP","Spain","Espagne","1951-02-27 00:00:00","https://www.wmo.int/cpdb/dashboard/spain"
"LKA","Sri Lanka","Sri Lanka","1951-05-23 00:00:00","https://www.wmo.int/cpdb/dashboard/sri-lanka"
"SDN","Sudan","Soudan","1956-12-03 00:00:00","https://www.wmo.int/cpdb/dashboard/sudan"
"SUR","Suriname","Suriname","1976-07-26 00:00:00","https://www.wmo.int/cpdb/dashboard/suriname"
