iso3_code,common_name,state_or_territory,wmo_member_since,cpdb_url
ZAF,"South Africa",State,1950-01-17,https://www.wmo.int/cpdb/dashboard/south-africa
KOR,"South Korea",State,1956-02-15,https://www.wmo.int/cpdb/dashboard/republic-of-korea
SSD,"South Sudan",State,2012-12-14,https://www.wmo.int/cpdb/dashboard/south-sudan
ESP,Spain,State,1951-02-27,https://www.wmo.int/cpdb/dashboard/spain
LKA,"Sri Lanka",State,1951-05-23,https://www.wmo.int/cpdb/dashboard/sri-lanka
LCA,"St. Lucia",State,1981-03-02,https://www.wmo.int/cpdb/dashboard/saint-lucia
SDN,Sudan,State,1956-12-03,https://www.wmo.int/cpdb/dashboard/sudan
SUR,Suriname,State,1976-07-26,https://www.wmo.int/cpdb/dashboard/suriname
SWZ,Swaziland,State,1982-11-02,https://www.wmo.int/cpdb/dashboard/swaziland
SWE,Sweden,State,1948-11-10,https://www.wmo.int/cpdb/dashboard/sweden
CHE,Switzerland,State,1949-02-23,https://www.wmo.int/cpdb/dashboard/switzerland
SYR,Syria,State,1952-07-16,https://www.wmo.int/cpdb/dashboard/syrian-arab-republic
STP,"São Tomé & Príncipe",State,1976-11-23,https://www.wmo.int/cpdb/dashboard/sao-tome-and-principe
TJK,Tajikistan,State,1993-08-10,https://www.wmo.int/cpdb/dashboard/tajikistan
TZA,Tanzania,State,1962-09-14,https://www.wmo.int/cpdb/dashboard/united-republic-of-tanzania
THA,Thailand,State,1949-07-11,https://www.wmo.int/cpdb/dashboard/thailand
TLS,Timor-Leste,State,2009-12-04,https://www.wmo.int/cpdb/dashboard/timor-leste
TGO,Togo,State,1960-10-28,https://www.wmo.int/cpdb/dashboard/togo
TON,Tonga,State,1996-02-25,https://www.wmo.int/cpdb/dashboard/tonga
TTO,"Trinidad & Tobago",State,1963-02-01,https://www.wmo.int/cpdb/dashboard/trinidad-and-tobago
TUN,Tunisia,State,1957-01-22,https://www.wmo.int/cpdb/dashboard/tunisia
TUR,Turkey,State,1949-08-05,https://www.wmo.int/cpdb/dashboard/turkey
TKM,Turkmenistan,State,1992-12-04,https://www.wmo.int/cpdb/dashboard/turkmenistan
TUV,Tuvalu,State,2012-09-22,https://www.wmo.int/cpdb/dashboard/tuvalu
UGA,Uganda,State,1963-03-15,https://www.wmo.int/cpdb/dashboard/uganda
UKR,Ukraine,State,1948-04-12,https://www.wmo.int/cpdb/dashboard/ukraine
ARE,"United Arab Emirates",State,1986-12-17,https://www.wmo.int/cpdb/dashboard/united-arab-emirates
GBR,"United Kingdom",State,1948-12-14,https://www.wmo.int/cpdb/dashboard/united-kingdom-of-great-britain-and-northern-ireland
USA,"United States",State,1949-05-04,https://www.wmo.int/cpdb/dashboard/united-states-of-america
URY,Uruguay,State,1951-01-11,https://www.wmo.int/cpdb/dashboard/uruguay
UZB,Uzbekistan,State,1992-12-23,https://www.wmo.int/cpdb/dashboard/uzbekistan
VUT,Vanuatu,State,1982-06-24,https://www.wmo.int/cpdb/dashboard/vanuatu
VEN,Venezuela,State,1950-06-16,https://www.wmo.int/cpdb/dashboard/venezuela-bolivarian-republic-of
VNM,Vietnam,State,1975-07-08,https://www.wmo.int/cpdb/dashboard/viet-nam
YEM,Yemen,State,1971-07-08,https://www.wmo.int/cpdb/dashboard/yemen
ZMB,Zambia,State,1964-12-28,https://www.wmo.int/cpdb/dashboard/zambia
ZWE,Zimbabwe,State,1981-01-12,https://www.wmo.int/cpdb/dashboard/zimbabwe
