"Flag of Saint Vincent and the Grenadines.svg","wikidata (with ISO3)"
"Flag of Saint Vincent and the Grenadines.svg","wikipedia (sovereign states)"
"Flag of Saint-Pierre and Miquelon.svg","wikipedia (dependent states)"
"Flag of Samoa.svg","wikidata (with ISO3)"
"Flag of Samoa.svg","wikipedia (sovereign states)"
"Flag of San Marino.svg","wikidata (with ISO3)"
"Flag of San Marino.svg","wikipedia (sovereign states)"
"Flag of Sao Tome and Principe.svg","wikidata (with ISO3)"
"Flag of Sao Tome and Principe.svg","wikipedia (sovereign states)"
"Flag of Sark.svg","wikipedia (dependent states)"
"Flag of Saudi Arabia.svg","wikidata (with ISO3)"
"Flag of Saudi Arabia.svg","wikipedia (sovereign states)"
"Flag of Saxony.svg","wikimedia (extinct states)"
"Flag of Scotland.svg","wikimedia (extinct states)"
"Flag of Senegal.svg","wikidata (with ISO3)"
"Flag of Senegal.svg","wikipedia (sovereign states)"
"Flag of Serbia.svg","wikidata (with ISO3)"
"Flag of Serbia.svg","wikipedia (sovereign states)"
"Flag of Seychelles.svg","wikidata (with ISO3)"
"Flag of Seychelles.svg","wikipedia (sovereign states)"
"Flag of Sierra Leone.svg","wikidata (with ISO3)"
"Flag of Sierra Leone.svg","wikipedia (sovereign states)"
"Flag of Sikkim (1967-1975).svg","wikimedia (extinct states)"
"Flag of Singapore.svg","wikidata (with ISO3)"
"Flag of Singapore.svg","wikipedia (sovereign states)"
"Flag of Sint Eustatius.svg","wikipedia (dependent states)"
"Flag of Sint Maarten.svg","wikidata (with ISO3)"
"Flag of Sint Maarten.svg","wikipedia (dependent states)"
"Flag of Slovakia.svg","wikidata (with ISO3)"
"Flag of Slovakia.svg","wikipedia (sovereign states)"
"Flag of Slovenia.svg","wikidata (with ISO3)"
"Flag of Slovenia.svg","wikipedia (sovereign states)"
"Flag of Somalia.svg","wikidata (with ISO3)"
"Flag of Somalia.svg","wikipedia (sovereign states)"
"Flag of Somaliland.svg","wikipedia (sovereign states)"
"Flag of South Africa.svg","wikidata (with ISO3)"
"Flag of South Africa.svg","wikipedia (sovereign states)"
"Flag of South Georgia and the South Sandwich Islands.svg","wikidata (with ISO3)"
"Flag of South Georgia and the South Sandwich Islands.svg","wikipedia (dependent states)"
"Flag of South Kasai.svg","wikimedia (extinct states)"
"Flag of South Korea.svg","wikidata (with ISO3)"
"Flag of South Korea.svg","wikipedia (sovereign states)"
"Flag of South Moluccas.svg","wikimedia (extinct states)"
"Flag of South Ossetia.svg","wikipedia (sovereign states)"
"Flag of South Sudan.svg","wikidata (with ISO3)"
"Flag of South Sudan.svg","wikipedia (sovereign states)"
"Flag of South Vietnam.svg","wikimedia (extinct states)"
"Flag of South Yemen.svg","wikimedia (extinct states)"
"Flag of Spain.svg","wikidata (with ISO3)"
"Flag of Spain.svg","wikipedia (sovereign states)"
"Flag of Sri Lanka.svg","wikidata (with ISO3)"
"Flag of Sri Lanka.svg","wikipedia (sovereign states)"
"Flag of Sudan.svg","wikidata (with ISO3)"
"Flag of Sudan.svg","wikipedia (sovereign states)"
"Flag of Suriname.svg","wikidata (with ISO3)"
"Flag of Suriname.svg","wikipedia (sovereign states)"
"Flag of Swaziland.svg","wikidata (with ISO3)"
"Flag of Swaziland.svg","wikipedia (sovereign states)"
"Flag of Sweden.svg","wikidata (with ISO3)"
"Flag of Sweden.svg","wikipedia (sovereign states)"
"Flag of Switzerland.svg","wikidata (with ISO3)"
"Flag of Switzerland.svg","wikipedia (sovereign states)"
"Flag of Syria.svg","wikidata (with ISO3)"
"Flag of Syria.svg","wikipedia (sovereign states)"
"Flag of Tajikistan.svg","wikidata (with ISO3)"
"Flag of Tajikistan.svg","wikipedia (sovereign states)"
"Flag of Tanganyika.svg","wikimedia (extinct states)"
"Flag of Tanzania.svg","wikidata (with ISO3)"
"Flag of Tanzania.svg","wikipedia (sovereign states)"
"Flag of Tavolara.svg","wikimedia (extinct states)"
"Flag of Tavolaran Republic.gif","wikimedia (extinct states)"
"Flag of Texas.svg","wikimedia (extinct states)"
"Flag of Thailand.svg","wikidata (with ISO3)"
"Flag of Thailand.svg","wikipedia (sovereign states)"
"Flag of The Gambia.svg","wikidata (with ISO3)"
"Flag of The Gambia.svg","wikipedia (sovereign states)"
"Flag of Tibet.svg","wikimedia (extinct states)"
"Flag of Togo.svg","wikidata (with ISO3)"
"Flag of Togo.svg","wikipedia (sovereign states)"
"Flag of Tokelau.svg","wikidata (with ISO3)"
"Flag of Tokelau.svg","wikipedia (dependent states)"
"Flag of Tonga.svg","wikidata (with ISO3)"
"Flag of Tonga.svg","wikipedia (sovereign states)"
"Flag of Transkei.svg","wikimedia (extinct states)"
"Flag of Transnistria (state).svg","wikipedia (sovereign states)"
"Flag of Transvaal.svg","wikimedia (extinct states)"
"Flag of Trinidad and Tobago.svg","wikidata (with ISO3)"
"Flag of Trinidad and Tobago.svg","wikipedia (sovereign states)"
"Flag of Tristan da Cunha.svg","wikipedia (dependent states)"
"Flag of Tunisia.svg","wikidata (with ISO3)"
"Flag of Tunisia.svg","wikipedia (sovereign states)"
"Flag of Turkey.svg","wikidata (with ISO3)"
"Flag of Turkey.svg","wikipedia (sovereign states)"
"Flag of Turkmenistan.svg","wikidata (with ISO3)"
"Flag of Turkmenistan.svg","wikipedia (sovereign states)"
"Flag of Tuvalu.svg","wikidata (with ISO3)"
"Flag of Tuvalu.svg","wikipedia (sovereign states)"
"Flag of Uganda.svg","wikidata (with ISO3)"
"Flag of Uganda.svg","wikipedia (sovereign states)"
"Flag of Ukraine.svg","wikidata (with ISO3)"
"Flag of Ukraine.svg","wikimedia (extinct states)"
"Flag of Ukraine.svg","wikipedia (sovereign states)"
"Flag of Ukrainian SSR.svg","wikimedia (extinct states)"
"Flag of Uruguay.svg","wikidata (with ISO3)"
"Flag of Uruguay.svg","wikipedia (sovereign states)"
"Flag of Uzbekistan.svg","wikidata (with ISO3)"
"Flag of Uzbekistan.svg","wikipedia (sovereign states)"
"Flag of Vanuatu.svg","wikidata (with ISO3)"
"Flag of Vanuatu.svg","wikipedia (sovereign states)"
"Flag of Venda.svg","wikimedia (extinct states)"
"Flag of Venezuela (state).svg","wikidata (with ISO3)"
"Flag of Venezuela.svg","wikipedia (sovereign states)"
"Flag of Vietnam.svg","wikidata (with ISO3)"
"Flag of Vietnam.svg","wikipedia (sovereign states)"
"Flag of Wallis and Futuna.svg","wikidata (with ISO3)"
"Flag of Wallis and Futuna.svg","wikipedia (dependent states)"
"Flag of Yemen.svg","wikidata (with ISO3)"
