line 624 column 1 - Warning: <table> lacks "summary" attribute
line 626 column 163 - Warning: <img> proprietary attribute "srcset"
line 626 column 163 - Warning: <img> proprietary attribute "data-file-width"
line 626 column 163 - Warning: <img> proprietary attribute "data-file-height"
line 636 column 1 - Warning: <table> lacks "summary" attribute
line 639 column 1 - Warning: <table> lacks "summary" attribute
line 641 column 193 - Warning: <img> proprietary attribute "srcset"
line 641 column 193 - Warning: <img> proprietary attribute "data-file-width"
line 641 column 193 - Warning: <img> proprietary attribute "data-file-height"
line 649 column 1 - Warning: <table> lacks "summary" attribute
line 651 column 139 - Warning: <img> proprietary attribute "srcset"
line 651 column 139 - Warning: <img> proprietary attribute "data-file-width"
line 651 column 139 - Warning: <img> proprietary attribute "data-file-height"
line 659 column 1 - Warning: <table> lacks "summary" attribute
line 661 column 263 - Warning: <img> proprietary attribute "srcset"
line 661 column 263 - Warning: <img> proprietary attribute "data-file-width"
line 661 column 263 - Warning: <img> proprietary attribute "data-file-height"
line 669 column 1 - Warning: <table> lacks "summary" attribute
line 671 column 165 - Warning: <img> proprietary attribute "srcset"
line 671 column 165 - Warning: <img> proprietary attribute "data-file-width"
line 671 column 165 - Warning: <img> proprietary attribute "data-file-height"
line 681 column 1 - Warning: <table> lacks "summary" attribute
line 683 column 152 - Warning: <img> proprietary attribute "srcset"
line 683 column 152 - Warning: <img> proprietary attribute "data-file-width"
line 683 column 152 - Warning: <img> proprietary attribute "data-file-height"
line 691 column 1 - Warning: <table> lacks "summary" attribute
line 693 column 156 - Warning: <img> proprietary attribute "srcset"
line 693 column 156 - Warning: <img> proprietary attribute "data-file-width"
line 693 column 156 - Warning: <img> proprietary attribute "data-file-height"
line 701 column 1 - Warning: <table> lacks "summary" attribute
line 703 column 152 - Warning: <img> proprietary attribute "srcset"
line 703 column 152 - Warning: <img> proprietary attribute "data-file-width"
line 703 column 152 - Warning: <img> proprietary attribute "data-file-height"
line 711 column 1 - Warning: <table> lacks "summary" attribute
line 713 column 181 - Warning: <img> proprietary attribute "srcset"
line 713 column 181 - Warning: <img> proprietary attribute "data-file-width"
line 713 column 181 - Warning: <img> proprietary attribute "data-file-height"
line 723 column 1 - Warning: <table> lacks "summary" attribute
line 725 column 150 - Warning: <img> proprietary attribute "srcset"
line 725 column 150 - Warning: <img> proprietary attribute "data-file-width"
line 725 column 150 - Warning: <img> proprietary attribute "data-file-height"
line 733 column 1 - Warning: <table> lacks "summary" attribute
line 735 column 179 - Warning: <img> proprietary attribute "srcset"
line 735 column 179 - Warning: <img> proprietary attribute "data-file-width"
line 735 column 179 - Warning: <img> proprietary attribute "data-file-height"
line 743 column 1 - Warning: <table> lacks "summary" attribute
line 745 column 176 - Warning: <img> proprietary attribute "srcset"
line 745 column 176 - Warning: <img> proprietary attribute "data-file-width"
line 745 column 176 - Warning: <img> proprietary attribute "data-file-height"
line 753 column 1 - Warning: <table> lacks "summary" attribute
line 755 column 171 - Warning: <img> proprietary attribute "srcset"
line 755 column 171 - Warning: <img> proprietary attribute "data-file-width"
line 755 column 171 - Warning: <img> proprietary attribute "data-file-height"
line 765 column 1 - Warning: <table> lacks "summary" attribute
line 767 column 170 - Warning: <img> proprietary attribute "srcset"
line 767 column 170 - Warning: <img> proprietary attribute "data-file-width"
line 767 column 170 - Warning: <img> proprietary attribute "data-file-height"
line 775 column 1 - Warning: <table> lacks "summary" attribute
line 777 column 169 - Warning: <img> proprietary attribute "srcset"
line 777 column 169 - Warning: <img> proprietary attribute "data-file-width"
line 777 column 169 - Warning: <img> proprietary attribute "data-file-height"
line 785 column 1 - Warning: <table> lacks "summary" attribute
line 787 column 174 - Warning: <img> proprietary attribute "srcset"
line 787 column 174 - Warning: <img> proprietary attribute "data-file-width"
line 787 column 174 - Warning: <img> proprietary attribute "data-file-height"
line 797 column 1 - Warning: <table> lacks "summary" attribute
line 800 column 1 - Warning: <table> lacks "summary" attribute
line 802 column 171 - Warning: <img> proprietary attribute "srcset"
line 802 column 171 - Warning: <img> proprietary attribute "data-file-width"
line 802 column 171 - Warning: <img> proprietary attribute "data-file-height"
line 810 column 1 - Warning: <table> lacks "summary" attribute
line 812 column 179 - Warning: <img> proprietary attribute "srcset"
line 812 column 179 - Warning: <img> proprietary attribute "data-file-width"
line 812 column 179 - Warning: <img> proprietary attribute "data-file-height"
line 822 column 1 - Warning: <table> lacks "summary" attribute
line 825 column 1 - Warning: <table> lacks "summary" attribute
line 827 column 181 - Warning: <img> proprietary attribute "srcset"
line 827 column 181 - Warning: <img> proprietary attribute "data-file-width"
line 827 column 181 - Warning: <img> proprietary attribute "data-file-height"
line 835 column 1 - Warning: <table> lacks "summary" attribute
line 837 column 180 - Warning: <img> proprietary attribute "srcset"
line 837 column 180 - Warning: <img> proprietary attribute "data-file-width"
line 837 column 180 - Warning: <img> proprietary attribute "data-file-height"
line 845 column 1 - Warning: <table> lacks "summary" attribute
line 847 column 191 - Warning: <img> proprietary attribute "srcset"
line 847 column 191 - Warning: <img> proprietary attribute "data-file-width"
line 847 column 191 - Warning: <img> proprietary attribute "data-file-height"
line 855 column 1 - Warning: <table> lacks "summary" attribute
line 857 column 201 - Warning: <img> proprietary attribute "srcset"
line 857 column 201 - Warning: <img> proprietary attribute "data-file-width"
line 857 column 201 - Warning: <img> proprietary attribute "data-file-height"
line 867 column 1 - Warning: <table> lacks "summary" attribute
line 869 column 163 - Warning: <img> proprietary attribute "srcset"
line 869 column 163 - Warning: <img> proprietary attribute "data-file-width"
line 869 column 163 - Warning: <img> proprietary attribute "data-file-height"
line 877 column 1 - Warning: <table> lacks "summary" attribute
line 879 column 247 - Warning: <img> proprietary attribute "srcset"
line 879 column 247 - Warning: <img> proprietary attribute "data-file-width"
line 879 column 247 - Warning: <img> proprietary attribute "data-file-height"
line 887 column 1 - Warning: <table> lacks "summary" attribute
line 889 column 149 - Warning: <img> proprietary attribute "srcset"
line 889 column 149 - Warning: <img> proprietary attribute "data-file-width"
line 889 column 149 - Warning: <img> proprietary attribute "data-file-height"
line 897 column 1 - Warning: <table> lacks "summary" attribute
line 899 column 138 - Warning: <img> proprietary attribute "srcset"
line 899 column 138 - Warning: <img> proprietary attribute "data-file-width"
line 899 column 138 - Warning: <img> proprietary attribute "data-file-height"
line 909 column 1 - Warning: <table> lacks "summary" attribute
line 911 column 138 - Warning: <img> proprietary attribute "srcset"
line 911 column 138 - Warning: <img> proprietary attribute "data-file-width"
line 911 column 138 - Warning: <img> proprietary attribute "data-file-height"
line 919 column 1 - Warning: <table> lacks "summary" attribute
line 921 column 153 - Warning: <img> proprietary attribute "srcset"
line 921 column 153 - Warning: <img> proprietary attribute "data-file-width"
line 921 column 153 - Warning: <img> proprietary attribute "data-file-height"
line 929 column 1 - Warning: <table> lacks "summary" attribute
line 931 column 166 - Warning: <img> proprietary attribute "srcset"
line 931 column 166 - Warning: <img> proprietary attribute "data-file-width"
line 931 column 166 - Warning: <img> proprietary attribute "data-file-height"
